iter	Logloss
0	0.6927351789
1	0.6903401704
2	0.6896604805
3	0.6875492948
4	0.6851580017
5	0.6819628748
6	0.6789453084
7	0.6756957011
8	0.6744312951
9	0.6707926808
10	0.6674449661
11	0.666256314
12	0.664755404
13	0.6621631998
14	0.6609133518
15	0.6577191136
16	0.6533253012
17	0.6507668459
18	0.646050455
19	0.644431414
20	0.6411821156
21	0.638816512
22	0.633637459
23	0.6290112734
24	0.6247403947
25	0.622784154
26	0.617634533
27	0.6164606322
28	0.6163082719
29	0.6146097237
30	0.6118601488
31	0.6066781608
32	0.6044748931
33	0.60130333
34	0.6003675082
35	0.5985315135
36	0.5936882821
37	0.5910505381
38	0.5886245677
39	0.5873364463
40	0.5849467281
41	0.5827889605
42	0.5805363547
43	0.5794567972
44	0.5758999893
45	0.5712905093
46	0.5696628419
47	0.5684185877
48	0.5672916463
49	0.5640517148
50	0.5607733167
51	0.5589499456
52	0.5558226542
53	0.5536674099
54	0.5515586535
55	0.5497965542
56	0.5471488436
57	0.5461023594
58	0.5438721261
59	0.5418202588
60	0.5407125083
61	0.53883636
62	0.5355351739
63	0.5327192247
64	0.5316750516
65	0.5307806161
66	0.5295173038
67	0.5282090929
68	0.5266416606
69	0.5248736938
70	0.5222297573
71	0.5206642693
72	0.5189006879
73	0.5183480933
74	0.516659323
75	0.5164858031
76	0.5148440997
77	0.5140118319
78	0.5104445869
79	0.506810704
80	0.5055548865
81	0.5033759159
82	0.5020302697
83	0.5003643451
84	0.4983512588
85	0.4960037045
86	0.4932564768
87	0.4915092289
88	0.4902110515
89	0.4863739989
90	0.4839944189
91	0.4817342144
92	0.4797191828
93	0.479357453
94	0.4766615259
95	0.4742529356
96	0.4720180206
97	0.4712290186
98	0.4684955279
99	0.467593482
100	0.4663086506
101	0.4630270239
102	0.4611614897
103	0.4595301458
104	0.457348801
105	0.4558996567
106	0.4537105741
107	0.4519414929
108	0.4500355531
109	0.4484779365
110	0.4463859363
111	0.4439941527
112	0.440618757
113	0.440146066
114	0.4374217951
115	0.4363113118
116	0.433588363
117	0.432007954
118	0.4303894847
119	0.4254046263
120	0.424117669
121	0.423374018
122	0.4213937918
123	0.4200519937
124	0.4193424673
125	0.418462178
126	0.4161776006
127	0.4144605335
128	0.4122483965
129	0.410489309
130	0.4096344159
131	0.4080511368
132	0.4059655224
133	0.4046675202
134	0.4026860685
135	0.4004500373
136	0.3997226538
137	0.3977314008
138	0.3968832728
139	0.3964150602
140	0.3948887406
141	0.3935974547
142	0.3920334803
143	0.3912390182
144	0.3888818522
145	0.3859691656
146	0.3832467009
147	0.382193112
148	0.3803941246
149	0.3796872524
150	0.3787874092
151	0.3775931859
152	0.3760892893
153	0.3750981842
154	0.3734902974
155	0.3724549684
156	0.3714048294
157	0.3701586344
158	0.3699201047
159	0.3689318805
160	0.3686861152
161	0.3673965037
162	0.3661758999
163	0.363972896
164	0.3620055959
165	0.3615256394
166	0.3611325233
167	0.3602756126
168	0.3598055614
169	0.3591864109
170	0.3581536268
171	0.3574925688
172	0.3559252367
173	0.3537025108
174	0.3521463627
175	0.3503029672
176	0.3488776377
177	0.3477641407
178	0.3473924073
179	0.3460406634
180	0.3447853056
181	0.3436663268
182	0.3427624612
183	0.341283008
184	0.340559563
185	0.3392772232
186	0.3380686867
187	0.3369353901
188	0.3364584166
189	0.3357717783
190	0.3337299598
191	0.3330217094
192	0.3307398242
193	0.3296912484
194	0.3287692187
195	0.328599462
196	0.3277337416
197	0.3273769138
198	0.3253417837
199	0.3242884111
200	0.323915971
201	0.3230977641
202	0.3218364169
203	0.3206460828
204	0.3189667179
205	0.3177286296
206	0.3167147122
207	0.3157733846
208	0.3148222037
209	0.3130010543
210	0.3125074975
211	0.3118667783
212	0.3102074139
213	0.3088968026
214	0.30835932
215	0.3070571206
216	0.3061413499
217	0.3055783691
218	0.305181138
219	0.303908852
220	0.302902727
221	0.30219211
222	0.3006086846
223	0.298738853
224	0.2981724861
225	0.2971165325
226	0.2965381687
227	0.2954327455
228	0.2941808303
229	0.2928404402
230	0.2915896408
231	0.2910671315
232	0.2904969806
233	0.2897240258
234	0.2888632051
235	0.2879519666
236	0.2873615419
237	0.2846600752
238	0.2841657432
239	0.2831757854
240	0.2826536817
241	0.2818941822
242	0.2801723945
243	0.2794613391
244	0.2789166908
245	0.2784868903
246	0.2779575329
247	0.2771864303
248	0.2763474945
249	0.2761036438
250	0.2752912695
251	0.2744809954
252	0.2739144898
253	0.2731781281
254	0.2728432476
255	0.2720208881
256	0.2706400982
257	0.2697886251
258	0.2693004847
259	0.2680423305
260	0.2666578984
261	0.2661613813
262	0.2653814839
263	0.2650901612
264	0.2638526527
265	0.263414783
266	0.2632820733
267	0.2624548936
268	0.2612961571
269	0.2611155216
270	0.2601551861
271	0.2589849676
272	0.2583109962
273	0.257891259
274	0.2572738045
275	0.2563487038
276	0.2551264835
277	0.2544398172
278	0.2539508013
279	0.2531662656
280	0.2529805759
281	0.2526406574
282	0.2522379715
283	0.251449254
284	0.2503041657
285	0.2495671736
286	0.2485949813
287	0.2478566644
288	0.2473543092
289	0.2466592066
290	0.2456648567
291	0.2450909881
292	0.2441302994
293	0.2434306799
294	0.2427596987
295	0.2418568446
296	0.241317726
297	0.2406885845
298	0.2397468745
299	0.2381162074
300	0.2369943839
301	0.2365400751
302	0.2362107982
303	0.2350260728
304	0.2343182374
305	0.2339792048
306	0.2332406306
307	0.2324553954
308	0.2316237516
309	0.2306780255
310	0.2294759773
311	0.2288582104
312	0.2278196378
313	0.2272444918
314	0.2266890872
315	0.2260351578
316	0.2256792806
317	0.2251685271
318	0.2243743972
319	0.2232631788
320	0.2225773023
321	0.2216703102
322	0.2212592147
323	0.2209516497
324	0.2206830215
325	0.2201487675
326	0.2197584397
327	0.2194931579
328	0.2187360543
329	0.2179460869
330	0.2166978645
331	0.2160099686
332	0.2154108701
333	0.2148752203
334	0.2145220931
335	0.2133578039
336	0.2131276
337	0.212763845
338	0.2122075201
339	0.2115937977
340	0.2110602363
341	0.2104486855
342	0.210048009
343	0.2095952309
344	0.2089002281
345	0.2085529638
346	0.2080311328
347	0.2072127218
348	0.2066885928
349	0.2060715999
350	0.2053337124
351	0.2051813318
352	0.2044142322
353	0.203812615
354	0.2030843311
355	0.2022454219
356	0.2016040701
357	0.2007741924
358	0.2004008104
359	0.2000002545
360	0.1990730753
361	0.1973376572
362	0.1967606653
363	0.1962909572
364	0.1949293117
365	0.194426015
366	0.1939422741
367	0.1933058527
368	0.1928919843
369	0.1922387174
370	0.1915183998
371	0.191153245
372	0.1907397536
373	0.1898792111
374	0.1890466281
375	0.1887281776
376	0.1886300571
377	0.1879390505
378	0.1872201013
379	0.1868387068
380	0.1861247725
381	0.1855614917
382	0.1849229652
383	0.1844052429
384	0.1840689548
385	0.1836713268
386	0.1833181106
387	0.1826234336
388	0.1823401575
389	0.1817258386
390	0.1812498122
391	0.1806942556
392	0.1804641944
393	0.180149692
394	0.1797502391
395	0.1793496785
396	0.1786980175
397	0.1786590051
398	0.1776631513
399	0.1772518603
400	0.1765740922
401	0.1758391169
402	0.1750536236
403	0.1749957394
404	0.174454563
405	0.1738342282
406	0.1732097532
407	0.1727866131
408	0.1712801258
409	0.1708985326
410	0.1704812018
411	0.1701217242
412	0.1693144366
413	0.1686988514
414	0.1679695718
415	0.167786616
416	0.1673774175
417	0.1668752147
418	0.1663993114
419	0.165858863
420	0.1655321839
421	0.1649338648
422	0.164660785
423	0.1642988123
424	0.1638173646
425	0.1637553579
426	0.1633269906
427	0.1628242392
428	0.1624290135
429	0.1621769635
430	0.1619742339
431	0.1617016679
432	0.1611591774
433	0.1608962013
434	0.1604636104
435	0.1598190821
436	0.1595287305
437	0.1591398743
438	0.1588985701
439	0.1585822835
440	0.1581034658
441	0.1572298198
442	0.1569474644
443	0.1564103543
444	0.1562933488
445	0.1559693565
446	0.1555892274
447	0.1554221807
448	0.1552973674
449	0.1546162685
450	0.1539063176
451	0.1536082025
452	0.1531771665
453	0.1524734407
454	0.152357171
455	0.1516065318
456	0.1511536694
457	0.1508756811
458	0.1501998843
459	0.1500191034
460	0.1496511594
461	0.1490873947
462	0.1487148799
463	0.1482152824
464	0.1479277751
465	0.1475966173
466	0.1473280997
467	0.146905939
468	0.1466138521
469	0.1464166829
470	0.1460570431
471	0.1458558684
472	0.1454248767
473	0.1450956267
474	0.1443958928
475	0.1441427327
476	0.1439210337
477	0.1437944296
478	0.1436773868
479	0.1433926685
480	0.143088516
481	0.1428035735
482	0.1425784332
483	0.1419736122
484	0.1418600493
485	0.1414985686
486	0.1412629934
487	0.1408927104
488	0.1405531836
489	0.1402484386
490	0.1398930893
491	0.1391716699
492	0.1388484215
493	0.13827043
494	0.137743317
495	0.1375867011
496	0.1373318217
497	0.1369261967
498	0.1367170569
499	0.136491403
500	0.1360603535
501	0.1355686754
502	0.1353869079
503	0.1349498295
504	0.1346015293
505	0.1344480887
506	0.1339385173
507	0.133527744
508	0.1333256793
509	0.1329854458
510	0.1328003668
511	0.1327375031
512	0.1325502084
513	0.1321710007
514	0.1319179704
515	0.1314657188
516	0.1312123404
517	0.130784568
518	0.13044245
519	0.1301330256
520	0.129951053
